"""","711 家計外消費支出(列)","721 民間消費支出","731 一般政府消費支出","732 一般政府消費支出（社会資本等減耗分）","741 県内総固定資本形成（公的）","751 県内総固定資本形成（民間）","761 在庫純増","771 調整項","810 移輸出","平均"
"206 化学繊維","3.1524103368063195E-7","3.969212504738326E-7","1.0141907426637428E-7","1.1161565697562445E-7","1.106723892595476E-7","2.964813507761377E-7","6.955231615750172E-6","4.049663077662669E-5","1.0755183706801566E-5","4.896147963486764E-6"
"207 医薬品","2.3126718353258633E-4","1.4167359364297214E-4","0.0011844113928803897","1.383389094006012E-5","9.541837407561103E-7","5.933882859699471E-7","2.5026039498660135E-4","3.244027162735076E-4","0.003112574741149764","0.001506907990955708"
"208 化学最終製品（医薬品を除く。）","0.003456030310577602","0.003960789499518928","0.001304409694542452","7.118651164631308E-4","0.0019187216916775318","0.001525997147356535","0.019919763868731007","0.1113105539141223","0.08254233113075318","0.037291116113254565"
"211 石油製品","0.005180103530618967","0.016155403344418565","0.005068444183535961","0.007106413004230669","0.010964625503931477","0.004048641489438986","0.12277428976163093","0.13607179603363764","0.24790642835701499","0.11396905760839277"
"212 石炭製品","2.853131342497592E-4","3.392383072718624E-4","2.306766248578558E-4","2.0009349005101028E-4","0.013820242139928527","0.001258718325776982","0.011739519229375921","0.012256129540814934","0.02580382164908326","0.011838727835454055"
"221 プラスチック製品","4.58505102313033E-4","4.5516627878983016E-4","1.8496245414978E-4","2.4117197545287612E-4","9.389362487801801E-4","6.332117445528479E-4","1.1985612125734587E-4","0.018373527092952632","0.014096151438934154","0.006305132995172714"
"222 ゴム製品","2.3772660674239489E-4","4.92168100122395E-4","3.029556973488943E-4","3.637728253839179E-4","6.239093016218904E-4","2.447809634259348E-4","-0.0024703642665132794","0.006752737790536707","0.003762311675362222","0.0018306855175733786"
"231 なめし革・毛皮・同製品","1.0997247044302866E-4","1.4584236560586625E-4","7.0845830287939585E-6","1.2878508782840278E-5","3.4568173905085885E-6","3.1491271815645338E-6","-1.214456466485114E-4","4.3788827438035014E-4","2.5052646058393107E-4","1.565187945746889E-4"
"251 ガラス・ガラス製品","5.1558527671729475E-6","1.8830116996617104E-6","2.551272938991475E-6","1.9561077551676258E-6","5.855142762660804E-6","9.549437627065838E-6","-4.229827919849306E-6","1.1721922833901377E-4","1.49601352259688E-5","8.37083361499349E-6"
"252 セメント・セメント製品","7.667787484840774E-5","2.4565548820161824E-4","1.7746386837125478E-4","2.9537880467627326E-4","0.028929963199767084","0.007594430228516338","-0.006085931903832972","0.0017267849312653826","0.005584839279490219","0.003900966404843838"
"253 陶磁器","1.549345371253224E-6","5.20683192461415E-7","7.391712667728113E-7","3.0284024798941694E-7","2.7004681036405304E-6","3.7860854449775635E-6","8.234383837506139E-8","1.6921843323110354E-6","2.58734369795045E-6","1.7373428257533385E-6"
"259 その他の窯業・土石製品","7.645700538791149E-5","1.1947812826487657E-4","5.873576555639006E-5","9.160986967567552E-5","0.0010537401963972143","7.991976685783384E-4","5.059114216108463E-4","0.007323876185686039","0.0032866449356422182","0.0015585544549576499"
"261 銑鉄・粗鋼","0.001052629826761257","0.0014388038688837991","0.0019738441657953317","0.0015794059343365438","0.014298503208857031","0.004738801853617847","0.21145747465580417","0.0850884617142307","0.18824158063724436","0.08420695354092574"
"262 鋼材","6.53070068630759E-4","0.0010513950473883154","0.0011285050897130303","0.0011997401830990708","0.026058233649629312","0.015943488027377863","0.19706101071647225","0.16720693391725922","0.18152757716827425","0.08226270897865091"
"263 鋳鍛造品","1.8943632516983282E-7","2.3699412352789198E-7","1.3556768252619367E-7","3.548502193784656E-7","7.343296317482656E-6","1.501315409006819E-5","8.049011152827675E-6","1.456800774005142E-4","5.421937803067339E-4","2.3343569967849666E-4"
"269 その他の鉄鋼製品","4.274463381670757E-5","5.0281654010168675E-5","4.510139768044443E-5","7.350923208606695E-5","4.3425492284583487E-4","4.899156061376257E-4","0.0014624373235604124","0.0056052321673136915","0.00796973034231944","0.003500745793893018"
"271 非鉄金属製錬・精製","1.3563387493273027E-6","9.020914223883543E-6","1.20752192274704E-6","1.0459201012199046E-6","7.480855456013414E-6","4.220823801494343E-6","-2.800128978858857E-5","6.546961489465938E-4","2.9071982262890135E-4","1.2856336910574835E-4"
"272 非鉄金属加工製品","4.049583038877485E-5","4.087081905531582E-5","9.348890309272983E-5","3.649718126276858E-5","4.308973396745299E-4","5.433309772799724E-4","-0.001088132241738615","0.04637002432435837","0.01545944702241757","0.006741679865207465"
"281 建設・建築用金属製品","2.5496894462870187E-5","8.800858009525105E-5","5.772461999596007E-5","1.0392936726380155E-4","0.00276328165997629","0.002305922723680568","7.410827232002013E-5","0.0013473803243446764","0.012119991261622045","0.005471998140095536"
"289 その他の金属製品","5.484401479651745E-4","3.6647464177007625E-4","2.4845757136057257E-4","5.37244130740836E-4","0.001319405012301608","0.0015103610313929692","-6.751629014339331E-4","0.009458823999282117","0.009649362089762158","0.004441753844423795"
"291 はん用機械","6.120921509155731E-5","1.638447430910787E-4","8.012821033405813E-5","2.0289891576313253E-4","0.001857811513396614","0.013267388035394656","0.006662722265287859","0.08725311890517626","0.08233275080989552","0.036453085110213876"
"301 生産用機械","4.600999623985531E-5","1.1976603623527995E-4","6.252192784137238E-5","1.1177757538774102E-4","5.404301993835567E-4","0.010232362632694295","-8.937472088806959E-4","0.07810418318017719","0.026636183457549742","0.01228301377807625"
"311 業務用機械","1.795736975026437E-4","2.830109923595561E-4","0.0011325142174160084","9.57570799352916E-4","5.620963798733084E-4","0.003966896579981507","-3.39161860241786E-4","0.007738203010078317","0.0037406803916413362","0.0021344046315664444"
"321 電子デバイス","8.410652932200535E-7","2.15310607104375E-6","1.1744468469411815E-6","1.6426901817324942E-6","2.748994255027231E-6","5.833375115710468E-6","1.0850309022541498E-5","3.6455688281114465E-4","4.371321661352501E-5","2.0690173652153583E-5"
"329 その他の電子部品","7.999799658094137E-5","2.276207067446551E-4","1.869824228075289E-4","4.066142345822033E-4","1.7073427743989134E-4","2.0156534987589864E-4","-1.8705145277574854E-4","0.011402384430835286","0.0042630773237182186","0.0019575115438533763"
"331 産業用電気機器","1.0897596993643454E-5","3.097076104605552E-5","1.6605160743571914E-5","2.9389160154813754E-5","3.9353950420525604E-4","0.0028839339057676926","8.566663487339976E-5","0.006023952764243729","0.001768376060189191","9.954974391566745E-4"
"332 民生用電気機器","1.1235225426600377E-6","3.7906106147420516E-6","6.540270015178595E-8","1.8487444511584946E-7","2.846821857299467E-7","2.012097466528313E-6","-5.165589819053446E-7","1.0698892348268831E-4","0.0011385737487691094","4.881933340366943E-4"
"333 電子応用装置・電気計測器","1.9962365337393357E-7","6.448159480850964E-7","2.1972993392496638E-6","5.135788547622996E-6","3.157279457489841E-5","8.317337906142468E-5","-1.2852658480954039E-5","0.0033195429286755787","3.4685633764729607E-4","1.604673009968558E-4"
"339 その他の電気機械","3.2613083841255325E-4","0.0012688407198850722","1.496039967300725E-4","2.115554155911414E-4","0.002116901970794437","0.004124534562063798","0.014156175025929425","0.04232072961600282","0.010725343400558685","0.00558350396145752"
"341 通信機械・同関連機器","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.611731387340354E-4","1.9710944059456295E-4"
"342 電子計算機・同附属装置","7.057333495806776E-9","2.1127773040884965E-6","9.069880395479782E-9","1.5879715695372667E-8","2.7554532072070724E-6","9.573633763495085E-6","-3.885755553556264E-6","6.418221150717673E-4","6.83785599957899E-5","3.1588051377333794E-5"
"351 乗用車","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"352 その他の自動車","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"353 自動車部品・同附属品","6.256277130646341E-7","1.5966541144658813E-6","8.482740012689371E-7","1.491799820494004E-6","1.342293402801481E-6","6.320752995487604E-7","-2.5123306167904526E-6","0.0024617517738907513","0.0013800278205494884","5.941712464076486E-4"
"354 船舶・同修理","5.865036973970934E-5","8.959150047612309E-5","4.859395071320702E-4","0.0015497054722892621","0.0018373170065321789","0.006411931916789136","-0.0012139134576329052","0.015124750584741834","0.003084956911480846","0.0019480351284401757"
"359 その他の輸送機械・同修理","4.4219320646315846E-7","3.097985852351068E-6","6.233291267616073E-6","1.9608413630183218E-5","1.0300357960294123E-5","6.67756494479597E-5","1.2478378341162322E-6","1.0749674789151075E-4","5.558972080420279E-4","2.448073981743371E-4"
"391 その他の製造工業製品","0.0019336680797400524","8.303441336484878E-4","3.1423506247878777E-4","3.388365139652759E-4","6.784413355630658E-4","0.001457442358365269","-3.0801942926700143E-4","0.006616528817444465","0.006144252848076448","0.0030921543493272054"
"392 再生資源回収・加工処理","2.142131421631691E-4","4.1391366285280207E-4","1.3211225834718597E-4","1.2239119056205007E-4","0.00100296272243464","3.008369870552376E-4","0.004387152761541224","0.003954068706933454","0.005243214325979949","0.0024970354613782363"
"411 建築","0.0","0.0","0.0","0.0","0.19676759330303567","0.3107698394704436","0.0","0.0","0.0","0.028400343172590162"
"412 建設補修","0.0031015972256342125","0.010322843646081438","0.007404790579224839","0.013433380032891348","0.002639178678954204","0.001691377784428231","0.002373581826210018","0.005151553851878575","0.005301954087670456","0.006870243234313214"
"413 公共事業","0.0","0.0","0.0","0.0","0.7005449644887761","0.0","0.0","0.0","0.0","0.02249574666888204"
"419 その他の土木建設","0.0","0.0","0.0","0.0","0.0","0.1176675868997924","0.0","0.0","0.0","0.008360883378809598"
"461 電力","0.012067851034830454","0.029094429638185346","0.01194675761278877","0.011879635505882145","0.008017178528168559","0.005626431082718351","0.008549159427283197","0.02160715807694908","0.03755188114565894","0.02784470934886286"
"462 ガス・熱供給","0.005972942553340562","0.004782068145652932","0.003555879102363026","0.0033205125663067674","0.0014369266434641206","0.001162938450332845","0.0015470001028506876","0.003954415523798832","0.0033408108027775394","0.0036334156096778187"
"471 水道","0.006148302866018783","0.01649298247529743","-0.005530926808818795","0.016136222440377965","0.0017625685065803952","0.0011828719461869368","8.040927361063301E-4","0.0028669677843370473","0.0025244665684906954","0.0063242437662560025"
"481 廃棄物処理","0.005049008809664902","0.0025635387215751358","0.0165405320913705","0.03147176109534465","0.0025042611491520998","8.027823294536473E-4","2.7767468841918765E-4","0.0010566072089185188","0.001653871313181927","0.003969986297103313"
"511 商業","0.11072893183844747","0.12370950404836445","0.023965643589954566","0.013613994457216113","0.05137361470521211","0.0749072418877924","0.026183426759233214","0.04034940954107561","0.05943907876549654","0.07700598340869184"
"531 金融・保険","0.006715984815536408","0.07514400608387889","0.015399165284611575","0.03176864296972861","0.01909304569030741","0.00875535240014835","0.0031648617159317997","0.009543472891880005","0.011467864437979751","0.03269694992093512"
"551 不動産仲介及び賃貸","0.009375955869400161","0.013112131412324984","0.012997353076670746","0.003574534816126909","0.005886591531186804","0.005687336494017291","0.0021382213091627935","0.004532493375731819","0.0063391905594101065","0.009123260998801548"
"552 住宅賃貸料","0.0","0.04860627738950723","3.298361663097207E-4","0.0","0.0","0.0","0.0","0.0","0.0","0.015762121756775795"
"553 住宅賃貸料（帰属家賃）","0.0","0.14425539101648568","8.313678712464193E-4","0.0","0.0","0.0","0.0","0.0","0.0","0.04676389890054628"
"571 鉄道輸送","0.001155977091459441","0.0033888573488992015","0.0014079167443241238","0.0022640400355797494","8.654155417051102E-4","4.7815620458644813E-4","2.3459387642104905E-4","8.705627696924805E-4","0.002595612435869627","0.0024701856177075034"
"572 道路輸送（自家輸送を除く。）","0.019159677741026303","0.014836408781677175","0.004715014600884754","0.0053589711135266305","0.012990436074759307","0.010195513503030782","0.007540066887817423","0.009417943324102264","0.017234239422170148","0.014244000007581137"
"573 自家輸送","0.010035799750872078","0.01092624166071482","0.012199773478314758","0.016240487427033417","0.03174927155584081","0.01466035892844898","0.0032307147583123625","0.007462767071604319","0.010451673823514779","0.011778394657323346"
"574 水運","5.423649350739424E-4","0.0011901191581305394","3.7715344002301913E-4","3.860024849221448E-4","0.002080450373305375","9.712562470918443E-4","0.00487880922743541","0.0029021289524239404","0.022488469034057188","0.010238950973448976"
"575 航空輸送","3.452443586058056E-5","9.393235216394882E-5","2.820335802326349E-5","2.896372325363051E-5","1.2357306589359398E-5","1.0457483359276837E-5","5.2593337656097114E-6","1.736851616228385E-5","4.150630284076323E-4","2.1290346628322976E-4"
"576 貨物利用運送","1.5999795860406672E-4","1.6900444466230033E-4","7.281147764152776E-5","4.522513183839558E-5","2.1380360284359382E-4","1.722033279989536E-4","1.9832407524510376E-4","1.9803789902031886E-4","5.729190172386982E-4","3.3151659920511816E-4"
"577 倉庫","0.0012126519039055393","0.001150857606689663","0.0010820718882817893","0.002286623076152063","0.0011734895480726049","9.009951421077524E-4","0.00394851749943319","0.00220027563400997","0.002631929014810446","0.001807626240067927"
"578 運輸附帯サービス","0.002418990520304783","0.005503126679205372","8.959163424910095E-4","0.0014068289575821264","0.0026570527058724196","0.0013591489846635227","5.918142117926511E-4","0.0012604282328221672","0.006957597293228783","0.0050937312248519615"
