"""","711 家計外消費支出(列)","721 民間消費支出","731 一般政府消費支出","732 一般政府消費支出（社会資本等減耗分）","741 県内総固定資本形成（公的）","751 県内総固定資本形成（民間）","761 在庫純増","771 調整項","810 移輸出","平均"
"662 広告","2.2153481087221357E-4","2.2498625122785673E-4","1.0598838772839816E-4","1.1312131833583214E-4","1.0623328926914387E-4","8.98683559502407E-5","5.264732663199342E-5","2.294503503950331E-4","2.2963439001716246E-4","1.975832613652228E-4"
"663 自動車整備・機械修理","0.0024460423738264393","0.006161521353117121","0.003316829576463835","0.005834795960585775","0.0052430998842398395","0.002461045991014354","0.0012865812692983147","0.003729348353877472","0.003708112220103918","0.004412534896899759"
"669 その他の対事業所サービス","0.0077388066239723295","0.011340172837597319","0.0146446455095777","0.01833436514811893","0.03506489045046784","0.021085029196000634","0.001973412458245893","0.007427314444745019","0.007188940042949436","0.011324632299287951"
"671 宿泊業","0.004718708380689276","4.909384710569293E-4","0.0","0.0","0.0","0.0","0.0","0.0","0.007563788442759309","0.0034579439842767315"
"672 飲食サービス","0.14982783710075046","0.019162092185954726","0.0019401644992126472","5.933986507064907E-5","8.582321460212694E-5","5.3523293223590756E-5","1.970025380483969E-5","4.0493366862934644E-5","0.0011613141477269445","0.009011755177439561"
"673 洗濯・理容・美容・浴場業","0.0018443444541393838","0.00796010191600257","0.004241307671289334","1.9271583038022133E-4","7.851150210036989E-5","3.539402155182833E-5","1.5137521915353687E-5","4.2453877346353765E-5","4.926157780479237E-4","0.0032650989306181087"
"674 娯楽サービス","0.05480954516426347","0.015005730119351876","1.335502517288825E-4","1.2160655811520858E-4","1.802055439330596E-4","1.2045351541570616E-4","1.6797249846499374E-5","7.86609952308084E-5","0.001706380404311135","0.006384892824900488"
"679 その他の対個人サービス","0.003901853392252636","0.01264088566317195","3.6813860332431125E-4","3.537978696776449E-4","3.464404363286145E-4","2.150482397111617E-4","5.6481913806226174E-5","4.4776128044881247E-4","2.5345425798020986E-4","0.0043250359945845454"
"681 事務用品","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"691 分類不明","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"合計","0.40466521409341033","0.5250925051377708","0.7697511921143987","0.8075574792245578","0.5634602939164166","0.33877953382932596","0.189704812657446","0.41567454806876886","0.46128112459486326","0.5106230616781973"
